id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q1773015,Freddy de Ruiter,,,,,,,Q2035042
Q4572925,Svein Harberg,,,,,,,Q2035042
Q3434757,Ingebjørg Godskesen,,,,,,,Q2035042
Q4573115,Kjell Ingolf Ropstad,,,,,,,Q2035042
Q6033416,Ingunn Foss,,,,,,,Q2035042
Q3420281,Kari Henriksen,,,,,,,Q2035042
Q1772865,Åse Michaelsen,,,,,,,Q2035042
Q5650021,Hans Fredrik Grøvan,,,,,,,Q2035042
Q15061970,Norunn Tveiten Benestad,,,,,,,Q2035042
Q11993129,Odd Omland,,,,,,,Q2035042
Q156553,Jan Tore Sanner,,,,,,,Q2035042
Q156540,Anniken Huitfeldt,,,,,,,Q2035042
Q1773029,Kari Kjønaas Kjos,,,,,,,Q2035042
Q1798291,Sylvi Graham,,,,,,,Q2035042
Q1772869,Sverre Myrli,,,,,,,Q2035042
Q15230235,Tone W. Trøen,,,,,,,Q2035042
Q156550,Marianne Aasen,,,,,,,Q2035042
Q5649745,Hans Andreas Limi,,,,,,,Q2035042
Q15230308,Bente Stein Mathisen,,,,,,,Q2035042
Q4590497,Abid Raja,,,,,,,Q2035042
Q8077259,Åsmund Aukrust,,,,,,,Q2035042
Q4567725,Henrik Asheim,,,,,,,Q2035042
Q5983558,Ib Thomsen,,,,,,,Q2035042
Q1772874,Gunvor Eldegard,,,,,,,Q2035042
Q3432190,Nils Aage Jegstad,,,,,,,Q2035042
Q4569580,Mette Tønder,,,,,,,Q2035042
Q1019331,Bård Vegar Solhjell,,,,,,,Q2035042
Q6513908,Martin Kolberg,,,,,,,Q2035042
Q6981465,Trond Helleland,,,,,,,Q2035042
Q6321658,Jørund Rytman,,,,,,,Q2035042
Q4560207,Lise Christoffersen,,,,,,,Q2035042
Q4568801,Anders B. Werp,,,,,,,Q2035042
Q1772947,Torgeir Micaelsen,,,,,,,Q2035042
Q15235179,Morten Wold,,,,,,,Q2035042
Q15109944,Kristin Ørmen Johnsen,,,,,,,Q2035042
Q1772873,Per Olaf Lundteigen,,,,,,,Q2035042
Q156517,Helga Pedersen,,,,,,,Q2035042
Q1799849,Frank Bakke-Jensen,,,,,,,Q2035042
Q3367196,Kåre Simensen,,,,,,,Q2035042
Q1773269,Jan-Henrik Fredriksen,,,,,,,Q2035042
Q4581573,Kirsti Bergstø,,,,,,,Q2035042
Q1343717,Knut Storberget,,,,,,,Q2035042
Q4761757,Anette Trettebergstuen,,,,,,,Q2035042
Q5619018,Gunnar Gundersen,,,,,,,Q2035042
Q15109978,Tor Andre Johnsen,,,,,,,Q2035042
Q3434947,Tone Sønsterud,,,,,,,Q2035042
Q548001,Trygve Slagsvold Vedum,,,,,,,Q2035042
Q6370820,Karin Andersen,,,,,,,Q2035042
Q291644,Erna Solberg,,,,,,,Q2035042
Q6514731,Per Rune Henriksen,,,,,,,Q2035042
Q1771881,Gjermund Hagesæter,,,,,,,Q2035042
Q6515779,Øyvind Halleraker,,,,,,,Q2035042
Q3376114,Jette F. Christensen,,,,,,,Q2035042
Q11995421,Peter Christian Frølich,,,,,,,Q2035042
Q1350399,Knut Arild Hareide,,,,,,,Q2035042
Q11056928,Helge Andre Njåstad,,,,,,,Q2035042
Q6516101,Magne Rommetveit,,,,,,,Q2035042
Q15057274,Torill Eidsheim,,,,,,,Q2035042
Q14371535,Terje Breivik,,,,,,,Q2035042
Q11998713,Ruth Grung,,,,,,,Q2035042
Q204370,Audun Lysbakken,,,,,,,Q2035042
Q15057304,Sigurd Hille,,,,,,,Q2035042
Q3432015,Kjersti Toppe,,,,,,,Q2035042
Q15057320,Ove Trellevik,,,,,,,Q2035042
Q11235163,Helge Orten,,,,,,,Q2035042
Q3434929,Else-May Botten,,,,,,,Q2035042
Q5654004,Harald T. Nesvik,,,,,,,Q2035042
Q5361543,Elisabeth Røbekk Nørve,,,,,,,Q2035042
Q11970058,Fredric Holen Bjørdal,,,,,,,Q2035042
Q3433165,Oskar Grimstad,,,,,,,Q2035042
Q3432890,Rigmor Andersen Eide,,,,,,,Q2035042
Q3367245,Jenny Klinge,,,,,,,Q2035042
Q11996618,Pål Farstad,,,,,,,Q2035042
Q462556,Lisbeth Berg-Hansen,,,,,,,Q2035042
Q11229501,Odd Henriksen,,,,,,,Q2035042
Q3422596,Kenneth Svendsen,,,,,,,Q2035042
Q4580733,Eirik Sivertsen,,,,,,,Q2035042
Q15075007,Margunn Ebbesen,,,,,,,Q2035042
Q6514450,Anna-Kristin Ljunggren,,,,,,,Q2035042
Q1770997,Jan Arild Ellingsen,,,,,,,Q2035042
Q4570826,Kjell-Idar Juvik,,,,,,,Q2035042
Q4571061,Janne Sjelmo Nordås,,,,,,,Q2035042
Q462499,Rigmor Aasrud,,,,,,,Q2035042
Q6515181,Tore Hagebakken,,,,,,,Q2035042
Q6514130,Olemic Thommessen,,,,,,,Q2035042
Q6914562,Morten Ørsal Johansen,,,,,,,Q2035042
Q3432049,Anne T. Wøien,,,,,,,Q2035042
Q3434939,Stine Renate Håheim,,,,,,,Q2035042
Q15121204,Ketil Kjenseth,,,,,,,Q2035042
